fiscal_quarter,quarter_end_date,fiscal_year,business_unit,segment,metric,value,unit,reporting_basis,source_type,source_url
Q1 FY24,2024-01-31,FY24,Commercial PS,Personal Systems,net_revenue,6045,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Commercial PS,Personal Systems,net_revenue,6045,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial PS,Personal Systems,net_revenue,6242,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial PS,Personal Systems,net_revenue,6242,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial PS,Personal Systems,net_revenue,6677,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial PS,Personal Systems,net_revenue,6677,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial PS,Personal Systems,net_revenue,6522,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial PS,Personal Systems,net_revenue,6522,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer PS,Personal Systems,net_revenue,2764,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer PS,Personal Systems,net_revenue,2764,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer PS,Personal Systems,net_revenue,2184,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer PS,Personal Systems,net_revenue,2184,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer PS,Personal Systems,net_revenue,2692,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer PS,Personal Systems,net_revenue,2692,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer PS,Personal Systems,net_revenue,3069,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer PS,Personal Systems,net_revenue,3069,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Personal Systems,Personal Systems,net_revenue,8809,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Personal Systems,Personal Systems,net_revenue,8809,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Personal Systems,Personal Systems,net_revenue,8426,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Personal Systems,Personal Systems,net_revenue,8426,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Personal Systems,Personal Systems,net_revenue,9369,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Personal Systems,Personal Systems,net_revenue,9369,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Personal Systems,Personal Systems,net_revenue,9591,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Personal Systems,Personal Systems,net_revenue,9591,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Supplies,Printing,net_revenue,2863,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Supplies,Printing,net_revenue,2863,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Supplies,Printing,net_revenue,2864,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Supplies,Printing,net_revenue,2864,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Supplies,Printing,net_revenue,2704,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Supplies,Printing,net_revenue,2703,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Supplies,Printing,net_revenue,2867,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Supplies,Printing,net_revenue,2865,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Commercial Printing,Printing,net_revenue,1227,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Commercial Printing,Printing,net_revenue,1227,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial Printing,Printing,net_revenue,1205,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Commercial Printing,Printing,net_revenue,1205,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial Printing,Printing,net_revenue,1147,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Commercial Printing,Printing,net_revenue,1147,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial Printing,Printing,net_revenue,1262,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Commercial Printing,Printing,net_revenue,1262,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer Printing,Printing,net_revenue,285,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Consumer Printing,Printing,net_revenue,285,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer Printing,Printing,net_revenue,300,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Consumer Printing,Printing,net_revenue,299,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer Printing,Printing,net_revenue,299,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Consumer Printing,Printing,net_revenue,293,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer Printing,Printing,net_revenue,333,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Consumer Printing,Printing,net_revenue,325,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Printing,Printing,net_revenue,4375,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Printing,Printing,net_revenue,4375,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Printing,Printing,net_revenue,4369,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Printing,Printing,net_revenue,4368,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Printing,Printing,net_revenue,4150,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Printing,Printing,net_revenue,4143,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Printing,Printing,net_revenue,4462,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Printing,Printing,net_revenue,4452,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Corporate Investments,Other,net_revenue,2,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Corporate Investments,Other,net_revenue,2,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Corporate Investments,Other,net_revenue,4,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Corporate Investments,Other,net_revenue,5,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Corporate Investments,Other,net_revenue,0,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Corporate Investments,Other,net_revenue,7,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Corporate Investments,Other,net_revenue,1,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Corporate Investments,Other,net_revenue,11,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Total segment,Other,net_revenue,13186,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY24,2024-01-31,FY24,Total segment,Other,net_revenue,13186,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Total segment,Other,net_revenue,12799,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY24,2024-04-30,FY24,Total segment,Other,net_revenue,12799,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Total segment,Other,net_revenue,13519,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY24,2024-07-31,FY24,Total segment,Other,net_revenue,13519,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Total segment,Other,net_revenue,14054,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY24,2024-10-31,FY24,Total segment,Other,net_revenue,14054,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Commercial PS,Personal Systems,net_revenue,6645,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Commercial PS,Personal Systems,net_revenue,6645,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Commercial PS,Personal Systems,net_revenue,6786,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Commercial PS,Personal Systems,net_revenue,6786,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Commercial PS,Personal Systems,net_revenue,7036,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Commercial PS,Personal Systems,net_revenue,7036,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Commercial PS,Personal Systems,net_revenue,6971,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Commercial PS,Personal Systems,net_revenue,6971,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Consumer PS,Personal Systems,net_revenue,2579,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Consumer PS,Personal Systems,net_revenue,2579,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Consumer PS,Personal Systems,net_revenue,2238,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Consumer PS,Personal Systems,net_revenue,2238,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Consumer PS,Personal Systems,net_revenue,2895,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Consumer PS,Personal Systems,net_revenue,2895,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Consumer PS,Personal Systems,net_revenue,3382,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Consumer PS,Personal Systems,net_revenue,3382,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Personal Systems,Personal Systems,net_revenue,9224,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Personal Systems,Personal Systems,net_revenue,9224,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Personal Systems,Personal Systems,net_revenue,9024,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Personal Systems,Personal Systems,net_revenue,9024,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Personal Systems,Personal Systems,net_revenue,9931,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Personal Systems,Personal Systems,net_revenue,9931,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Personal Systems,Personal Systems,net_revenue,10353,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Personal Systems,Personal Systems,net_revenue,10353,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Supplies,Printing,net_revenue,2829,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Supplies,Printing,net_revenue,2826,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Supplies,Printing,net_revenue,2728,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Supplies,Printing,net_revenue,2725,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Supplies,Printing,net_revenue,2609,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Supplies,Printing,net_revenue,2604,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Supplies,Printing,net_revenue,2767,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Supplies,Printing,net_revenue,2761,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Commercial Printing,Printing,net_revenue,1144,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Commercial Printing,Printing,net_revenue,1144,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Commercial Printing,Printing,net_revenue,1167,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Commercial Printing,Printing,net_revenue,1167,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Commercial Printing,Printing,net_revenue,1113,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q3 FY25,2025-07-31,FY25,Commercial Printing,Printing,net_revenue,1113,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Commercial Printing,Printing,net_revenue,1209,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q4 FY25,2025-10-31,FY25,Commercial Printing,Printing,net_revenue,1209,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Consumer Printing,Printing,net_revenue,307,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q1 FY25,2025-01-31,FY25,Consumer Printing,Printing,net_revenue,299,USD millions,as previously reported,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
Q2 FY25,2025-04-30,FY25,Consumer Printing,Printing,net_revenue,302,USD millions,FY26 realigned,reported,https://investor.hp.com/news-events/news/news-details/2026/HP-Inc--Reports-Fiscal-2026-First-Quarter-Results/default.aspx
